comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.99          232                1                  64        0         0         3         3072        0           0           0.004626     0.013168          0.064611            0.064567           0.08                 15            38
3.00          231                1                  64        0         0         3         3584        0           0           0.005458     0.015298          0.076556            0.076555           0.10                 16            38
2.98          232                1                  64        0         0         3         4096        0           0           0.006259     0.016090          0.085202            0.085201           0.11                 17            37
2.98          232                1                  64        0         0         3         4608        0           0           0.006860     0.018889          0.097775            0.097773           0.12                 19            35
3.00          231                1                  64        0         0         3         5120        0           0           0.007584     0.020556          0.110050            0.110049           0.14                 22            35
2.98          231                1                  64        0         0         3         5632        0           0           0.007077     0.021384          0.118971            0.118970           0.15                 23            31
3.00          232                1                  64        0         0         3         6144        0           0           0.008374     0.026512          0.130424            0.130424           0.16                 26            37
2.99          232                1                  64        0         0         3         6656        0           0           0.008832     0.024270          0.144788            0.144787           0.18                 26            32
3.00          231                1                  64        0         0         3         7168        0           0           0.009031     0.024978          0.155133            0.155132           0.18                 28            29
2.97          230                1                  64        0         0         3         7680        0           0           0.009478     0.026550          0.163402            0.163401           0.20                 30            29
2.99          231                1                  64        0         0         3         8192        0           0           0.009636     0.028329          0.173710            0.173709           0.21                 31            29
2.98          230                1                  64        0         0         4         512         0           0           0.000830     0.003190          0.013793            0.013792           0.02                 7             50
2.97          230                1                  64        0         0         4         1024        0           0           0.001788     0.006520          0.025486            0.025485           0.03                 9             44
2.97          232                1                  64        0         0         4         1536        0           0           0.002076     0.006763          0.037353            0.037352           0.05                 9             32
2.97          232                1                  64        0         0         4         2048        0           0           0.002957     0.009081          0.049771            0.049770           0.06                 11            31
2.99          232                1                  64        0         0         4         2560        0           0           0.004167     0.013081          0.061747            0.061746           0.07                 13            37
2.97          231                1                  64        0         0         4         3072        0           0           0.004761     0.014887          0.074064            0.074063           0.09                 15            38
2.97          231                1                  64        0         0         4         3584        0           0           0.005568     0.017330          0.086479            0.086478           0.10                 17            36
2.97          230                1                  64        0         0         4         4096        0           0           0.006299     0.019570          0.098159            0.098158           0.12                 19            35
2.97          231                1                  64        0         0         4         4608        0           0           0.006960     0.022617          0.109038            0.109037           0.13                 21            37
