program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 85               30          70.3819              70.50                1219          66         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 90               30          68.8511              68.97                1218          67         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 95               30          66.0396              66.15                1221          73         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 100              30          64.801               64.91                1216          76         NA            1035.74         NA
33       BINARY    semihonest     shamir-bmr         3          7.56          376                3                  10               30          228.492              228.60               1039          11         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 15               30          162.211              162.32               1039          16         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 20               30          121.859              121.96               1038          17         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 25               30          107.226              107.33               1042          23         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 30               30          92.6304              92.74                1037          27         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 35               30          81.993               82.10                1037          28         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 40               30          76.8169              76.93                1039          34         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 45               30          71.5505              71.66                1037          37         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 50               30          65.8089              65.93                1036          38         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 55               30          62.769               62.88                1033          41         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 60               30          58.0909              58.20                1032          41         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 65               30          54.7252              54.83                1029          42         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 70               30          55.326               55.43                1036          48         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 75               30          44.8359              44.94                1035          33         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 80               30          50.1035              50.21                1036          48         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 85               30          44.2029              44.31                1036          41         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 90               30          49.3268              49.44                1036          54         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 95               30          38.7502              38.86                1037          37         NA            317.371         NA
33       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 100              30          34.4333              34.55                1030          37         NA            317.371         NA
33       BINARY    semihonest     rep-bmr            3          7.56          376                3                  10               30          135.715              135.82               798           11         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 15               30          93.5502              93.66                798           13         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 20               30          73.719               73.83                796           19         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 25               30          61.5991              61.71                797           23         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 30               30          49.2865              49.39                797           15         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 35               30          47.6487              47.76                797           30         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 40               30          43.2374              43.35                796           33         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 45               30          36.3509              36.46                796           32         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 50               30          37.4028              37.51                796           39         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 55               30          34.5901              34.70                796           39         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 60               30          33.3773              33.49                801           44         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 65               30          31.3791              31.49                796           47         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 70               30          30.2127              30.32                796           46         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 75               30          25.164               25.28                796           43         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 80               30          28.0064              28.12                796           53         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 85               30          23.0626              23.17                796           29         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 90               30          26.4204              26.53                797           55         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 95               30          16.9377              17.06                799           35         NA            154.654         NA
33       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 100              30          20.3517              20.46                798           35         NA            154.654         NA
33       BINARY    semihonest     replicated-bin     3          7.56          376                3                  10               30          5.29229              5.39                 27            72         NA            0.283548        NA
33       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 15               30          3.51541              3.62                 27            90         NA            0.283548        NA
33       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 20               30          2.92007              3.03                 25            107        NA            0.283548        NA
