nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs;quotas;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;166400;100800;11204;16;1.7;240;1600;46.7575;61;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;187200;113400;12604;16;1.7;240;1800;48.8608;62;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;208000;126000;14004;16;1.7;240;2000;53.9707;64;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;1040;630;74;16;1.7;180;10;0.524403;63;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;20800;12600;1404;16;1.7;180;200;5.53303;63;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;41600;25200;2804;16;1.7;180;400;11.6849;60;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;62400;37800;4204;16;1.7;180;600;16.5201;63;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;83200;50400;5604;16;1.7;180;800;21.9057;62;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;104000;63000;7004;16;1.7;180;1000;27.079;63;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;124800;75600;8404;16;1.7;180;1200;32.5524;64;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;145600;88200;9804;16;1.7;180;1400;38.0046;61;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;166400;100800;11204;16;1.7;180;1600;46.7333;62;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;187200;113400;12604;16;1.7;180;1800;48.9962;62;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;208000;126000;14004;16;1.7;180;2000;54.0465;64;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;1040;630;74;16;1.7;120;10;0.571607;63;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;20800;12600;1404;16;1.7;120;200;5.58626;61;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;41600;25200;2804;16;1.7;120;400;11.076;63;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;62400;37800;4204;16;1.7;120;600;16.4286;64;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;83200;50400;5604;16;1.7;120;800;21.8725;62;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;104000;63000;7004;16;1.7;120;1000;28.5947;62;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;124800;75600;8404;16;1.7;120;1200;32.8013;62;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;145600;88200;9804;16;1.7;120;1400;38.1506;63;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;166400;100800;11204;16;1.7;120;1600;43.4021;63;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;31_scalable_search;FIELD;semidishonest;semi;187200;113400;12604;16;1.7;120;1800;52.2375;61;~53120;2495.86;7468.18
