comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    10       128       0         1         0         2         0         0         40960       0           1           .000310      NA          .006361           .016330             .016330            .021500              321           2335
0.01          3                  1                  0    10       128       0         1         0         2         0         0         40960       0           2           .000144      NA          .004608           .017074             .017074            .021500              321           4470
1.43          228                1                  0    10       128       0         1         0         3         0         0         40960       0           0           0.001863     NA          0.139977          0.427819            0.427818           0.51                 202           414
0.02          3                  1                  0    10       128       0         1         0         3         0         0         40960       0           1           .000074      NA          .006552           .013426             .013426            .018500              321           2678
0.02          3                  1                  0    10       128       0         1         0         3         0         0         40960       0           2           .000028      NA          .004378           .013586             .013586            .017555              321           5081
1.43          229                1                  0    10       128       0         1         0         4         0         0         40960       0           0           0.002112     NA          0.132487          0.403795            0.403794           0.49                 201           420
0.02          3                  1                  0    10       128       0         1         0         4         0         0         40960       0           1           .000059      NA          .004088           .010097             .010097            .014333              280           2435
0.02          3                  1                  0    10       128       0         1         0         4         0         0         40960       0           2           .000022      NA          .002441           .011163             .011163            .015000              280           3654
1.37          228                1                  0    10       128       0         1         0         5         0         0         40960       0           0           0.001869     NA          0.166956          0.422036            0.422036           0.51                 242           442
0.02          3                  1                  0    10       128       0         1         0         5         0         0         40960       0           1           .000073      NA          .006495           .012892             .012892            .018000              281           2712
0.02          3                  1                  0    10       128       0         1         0         5         0         0         40960       0           2           .000028      NA          .003698           .013828             .013828            .017500              281           4412
1.38          228                1                  0    10       128       0         1         0         6         0         0         40960       0           0           0.000945     NA          0.054884          0.153531            0.153530           0.25                 162           501
0.02          3                  1                  0    10       128       0         1         0         6         0         0         40960       0           1           .000019      NA          .003425           .004408             .004408            .007333              163           4349
0.02          3                  1                  0    10       128       0         1         0         6         0         0         40960       0           2           .000009      NA          .001777           .005193             .005193            .007944              163           6245
1.49          233                1                  0    10       256       0         1         0         1         0         0         40960       0           0           0.007798     NA          0.401851          0.473035            0.473034           0.61                 638           858
0.01          3                  1                  0    10       256       0         1         0         1         0         0         40960       0           1           .000224      NA          .016147           .033065             .033065            .040166              638           2912
0.02          3                  1                  0    10       256       0         1         0         1         0         0         40960       0           2           .000079      NA          .006936           .033203             .033203            .039944              638           3675
1.43          232                1                  0    10       256       0         1         0         2         0         0         40960       0           0           0.007388     NA          0.317738          0.677224            0.677223           0.81                 640           539
0.02          3                  1                  0    10       256       0         1         0         2         0         0         40960       0           1           .000522      NA          .010088           .026478             .026478            .036333              640           2266
0.02          3                  1                  0    10       256       0         1         0         2         0         0         40960       0           2           .000284      NA          .006457           .032026             .032026            .039333              640           3638
